contracts,payment_method,avg_area_act,avg_area_all,avg_area_cyc,avg_act_length,ratio_active,max_active,max_area,age,label
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
1,Type.DIRECT_DEBIT,0.9833333333333334,0.021611721611721615,1.9666666666666668,2.0,0.02197802197802198,1.0,3.0,29,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,29,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,29,Label.AVERAGE
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,40,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,40,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,40,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.AVERAGE
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.AVERAGE
2,Type.DIRECT_DEBIT,1.0,0.01098901098901099,1.0,1.0,0.01098901098901099,1.0,1.0,33,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.9391304347826087,0.07883211678832118,3.6,3.8333333333333335,0.08394160583941605,1.0,9.0,30,Label.BAD
1,Type.DIRECT_DEBIT,0.6828571428571426,0.08722627737226274,2.987499999999999,4.375,0.12773722627737227,0.7999999999999998,6.599999999999996,30,Label.BAD
1,Type.DIRECT_DEBIT,0.4124999999999995,0.04835164835164829,1.649999999999998,4.0,0.11721611721611722,0.4999999999999995,5.599999999999993,30,Label.BAD
1,Type.DIRECT_DEBIT,0.1586206896551718,0.01672727272727266,0.9199999999999964,5.8,0.10545454545454545,0.24999999999999936,1.4999999999999962,30,Label.BAD
1,Type.DIRECT_DEBIT,1.0,0.01824817518248175,1.6666666666666667,1.6666666666666667,0.01824817518248175,1.0,2.0,49,Label.AVERAGE
1,Type.DIRECT_DEBIT,1.0,0.021897810218978103,1.5,1.5,0.021897810218978103,1.0,2.0,49,Label.AVERAGE
1,Type.DIRECT_DEBIT,1.0,0.029304029304029304,1.6,1.6,0.029304029304029304,1.0,2.0,49,Label.AVERAGE
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,36,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,44,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,44,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,44,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,65,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,65,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,65,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,64,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,64,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,64,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,60,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,60,Label.GOOD
1,Type.CASH,0,0,0,0,0,0,0,60,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,45,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,45,Label.AVERAGE
